🥇;ميدالية المركز الأول
🧟‍♀️;امرأة غيبوبة
👢;حذاء
👚;الملابس النسائية
👒;قبعة نسائية
👡;صندل
👯‍♀️;النساء مع آذان الارنب
🤼‍♀️;مصارعة النساء
🚺;للنساء
🗺;خريطة العالم
😟;قلق
🎁;هدية مجانية
🔧;مفتاح الربط
✍;يد الكتابة
✍🏿;الكتابة اليد لون البشرة الداكنة
✍🏻;الكتابة ناحية لون البشرة الفاتحة
✍🏾;الكتابة ناحية لهجة البشرة الداكنة المتوسطة
✍🏼;الكتابة ناحية لهجة البشرة متوسطة الضوء
✍🏽;الكتابة ناحية لون البشرة المتوسطة
💛;قلب أصفر
💴;ين
☯;يين يانغ
🤪;وجه زاني
🦓;الحمار الوحشي
🤐;وجه سحاب الفم
🧟;الاموات الاحياء
💤;ضاد ضاد ضاد
🇦🇽;العلم لجزر آلاند
📅;تاريخ
🐈;CAT2
🐄;cow2
🕶;النظارات الشمسية الداكنة
🐕;dog2
🐪;الجمل الجمل
🏻;رمز تعبيري معدل واحد
🏼;رمز تعبيري معدل ثلاثة
🏽;رمز تعبيري معدل أربعة
🏾;رمز تعبيري معدل خمسة
🏿;رمز تعبيري معدل ستة
🏤;مكتب بريد أوروبي
⎈;رمز الدفة
🐎;فرس الرهان
*⃣ ;النجمة
8⃣;عدد ثمانية
5⃣;عدد خمسة
4⃣;أرقام أربعة
9⃣;رقم تسعة
1⃣ ;رقم واحد
7⃣;عدد سبعة
6⃣;رقم ستة
3⃣;عدد ثلاثة
2⃣;عدد اثنين
0⃣;رقم صفر
#⃣;علامة الرقم
💏;قبلة زوجين
🐁;فأر
✏;قلم
🐖;خنزير
🐇;أرنب
🐅;نمر
🚆;قطار
🐋;حوت أزرق
